id,user id,creation date,update date,title,link,state,note,username,tags,count
167858,212,"2018-06-20 15:27:40",,"Simple Planning for Startups • William Pietri",http://williampietri.com/writing/2014/simple-planning-for-startups/,public,,emystein,agile,1
167050,212,"2018-05-25 06:06:38",,"Amalgama - Web and Mobile Applications Development",https://amalgama.co/index,public,,emystein,jobs,1
